,Rk,School,G,W,L,W-L%,SRS,SOS,W_conf,L_conf,W_home,L_home,W_away,L_away,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Year
1,2,Akron NCAA,36,23,13,.639,2.15,-1.02,9,7,14,2,5,9,2524,2365,1465,892,2073,.430,283,785,.361,457,649,.704,363,1238,520,240,129,432,692,67.0,102.9,.313,.379,.530,47.9,58.3,9.8,9.2,.499,15.4,28.3,.220,2011
3,4,Alabama-Birmingham NCAA,31,22,9,.710,8.55,2.78,12,4,13,2,8,5,2119,1940,1270,756,1725,.438,239,698,.342,368,513,.717,352,1109,420,164,97,387,514,63.1,105.7,.297,.405,.538,51.7,55.6,8.2,8.2,.508,16.4,33.4,.213,2011
4,5,Alabama State NCAA,35,17,18,.486,-13.37,-10.31,11,7,10,3,4,14,2146,2234,1410,728,1841,.395,165,583,.283,525,870,.603,460,1271,404,255,163,551,777,66.5,91.5,.473,.317,.476,50.7,55.5,10.9,13.1,.440,19.6,35.7,.285,2011
11,12,Arizona NCAA,38,30,8,.789,16.54,7.99,14,4,17,0,7,4,2905,2580,1540,969,2064,.469,296,745,.397,671,899,.746,408,1319,536,197,98,484,707,66.9,112.8,.436,.361,.583,53.1,55.3,7.7,6.5,.541,16.3,34.0,.325,2011
12,13,Little Rock NCAA,36,19,17,.528,-4.32,-2.97,7,9,10,5,3,10,2457,2426,1455,825,1938,.426,242,615,.393,565,819,.690,377,1204,433,212,89,428,740,65.4,103.3,.423,.317,.528,48.9,52.5,8.9,7.4,.488,15.5,29.9,.292,2011
23,22,Belmont NCAA,35,30,5,.857,13.07,-4.42,19,1,12,0,12,4,2790,2178,1410,944,2045,.462,327,864,.378,575,781,.736,451,1258,575,338,118,480,729,69.2,114.3,.382,.422,.577,52.5,60.9,13.9,9.7,.542,16.6,37.4,.281,2011
28,27,Boston University NCAA,35,21,14,.600,-2.48,-3.85,12,4,12,2,4,10,2270,2222,1405,749,1865,.402,265,747,.355,507,695,.729,414,1249,345,189,129,418,635,62.7,103.0,.373,.401,.517,50.2,46.1,8.6,10.5,.473,16.0,34.0,.272,2011
31,30,Brigham Young NCAA,37,32,5,.865,18.65,5.76,14,2,13,1,10,1,3012,2512,1495,1019,2267,.449,312,865,.361,662,865,.765,420,1425,538,298,150,404,647,71.1,113.4,.382,.382,.562,51.9,52.8,11.2,9.9,.518,13.1,31.2,.292,2011
34,33,Bucknell NCAA,34,25,9,.735,2.39,-3.87,13,1,14,1,10,6,2387,2174,1365,827,1855,.446,234,585,.400,499,633,.788,270,1149,491,160,106,380,612,66.1,105.9,.341,.315,.554,49.7,59.4,7.1,8.9,.509,15.0,25.2,.269,2011
36,35,Butler NCAA,38,28,10,.737,11.53,5.02,13,5,12,2,7,6,2707,2437,1540,919,2122,.433,289,822,.352,580,799,.726,431,1337,452,226,61,416,718,64.5,109.0,.377,.387,.541,52.3,49.2,9.1,4.7,.501,14.3,33.2,.273,2011
