,Year,School,sum_PER,sum_WS,sum_WS/40,sum_PProd,sum_FT,sum_TS%,sum_PTS
0,2011,Hampton Pirates,125.5,10.2,1.04,1106.0,15.4,4.52,69.7
1,2011,Penn State Nittany Lions,120.2,8.3,0.55,1136.0,11.9,4.58,65.0
2,2011,Princeton Tigers,156.7,10.9,1.4,992.0,14.2,5.15,67.6
3,2011,Florida Gators,147.5,11.6,1.16,1148.0,13.9,4.7,73.4
4,2011,Clemson Tigers,130.1,10.2,1.09,1041.0,13.5,4.84,66.9
5,2011,St. John's (NY) Red Storm,133.3,10.0,0.92,1192.0,17.8,4.76,67.4
6,2011,Cincinnati Bearcats,138.0,10.2,1.02,1136.0,12.5,4.62,64.0
7,2011,UNC Asheville Bulldogs,148.9,11.2,1.2,1236.0,16.7,5.1,74.9
8,2011,BYU Cougars,149.0,13.0,1.3,1308.0,19.7,4.94,83.6
9,2011,UCLA Bruins,273.7,11.2,2.6,1193.0,15.8,5.27,68.3
10,2011,Kansas State Wildcats,143.9,9.0,1.16,1033.0,17.2,5.03,70.3
11,2011,UCSB Gauchos,130.1,8.8,0.8,997.0,13.5,4.88,66.5
12,2011,Memphis Tigers,133.6,7.1,0.88,933.0,13.2,4.86,64.9
13,2011,Syracuse Orange,188.2,11.3,1.41,1231.0,12.5,5.33,70.9
14,2011,Xavier Musketeers,201.1,14.5,1.86,1215.0,19.6,6.04,78.7
15,2011,Duke Blue Devils,133.5,12.9,1.23,1196.0,15.2,4.71,74.9
16,2011,Louisville Cardinals,156.6,11.6,1.16,1201.0,10.9,4.92,72.6
17,2011,San Diego State Aztecs,160.0,12.9,1.49,1091.0,14.3,4.8,71.4
18,2011,Pitt Panthers,151.2,13.6,1.34,1217.0,16.6,4.97,71.3
19,2011,Wofford Terriers,171.7,13.9,1.45,1305.0,15.4,5.37,74.3
20,2011,Akron Zips,138.8,9.6,1.05,1094.0,11.9,4.84,68.7
